model,method,k,init,lr,difficulty,seed,acc
hflm,to,-0.5,random,3e-4,medium,2,76.75
hflm,to,-0.5,random,3e-4,medium,3,78.0
hflm,to,-0.5,random,5e-4,hard,1,36.65
hflm,to,-0.5,random,5e-4,hard,2,26.35
hflm,to,-0.5,random,5e-4,hard,3,24.4
hflm,to,-0.5,random,5e-4,medium,1,72.25
hflm,to,-0.5,random,5e-4,medium,2,70.89999999999999
hflm,to,-0.5,random,5e-4,medium,3,79.45
hflm,to,-0.7,c0.01,1e-3,hard,1,37.6
hflm,to,-0.7,c0.01,1e-3,hard,2,31.0
hflm,to,-0.7,c0.01,1e-3,hard,3,49.85
hflm,to,-0.7,c0.01,1e-3,medium,1,73.2
hflm,to,-0.7,c0.01,1e-3,medium,2,80.7
hflm,to,-0.7,c0.01,1e-3,medium,3,72.15
hflm,to,-0.7,c0.01,3e-4,hard,1,46.800000000000004
hflm,to,-0.7,c0.01,3e-4,hard,2,33.85
hflm,to,-0.7,c0.01,3e-4,hard,3,31.3
hflm,to,-0.7,c0.01,3e-4,medium,1,74.25
hflm,to,-0.7,c0.01,3e-4,medium,2,72.35000000000001
hflm,to,-0.7,c0.01,3e-4,medium,3,71.85000000000001
hflm,to,-0.7,c0.01,5e-4,hard,1,37.5
hflm,to,-0.7,c0.01,5e-4,hard,2,28.449999999999996
hflm,to,-0.7,c0.01,5e-4,hard,3,22.95
hflm,to,-0.7,c0.01,5e-4,medium,1,76.0
hflm,to,-0.7,c0.01,5e-4,medium,2,70.3
hflm,to,-0.7,c0.01,5e-4,medium,3,77.2
hflm,to,-0.7,c0.04,1e-3,hard,1,35.5
hflm,to,-0.7,c0.04,1e-3,hard,2,40.9
hflm,to,-0.7,c0.04,1e-3,hard,3,26.150000000000002
hflm,to,-0.7,c0.04,1e-3,medium,1,68.10000000000001
hflm,to,-0.7,c0.04,1e-3,medium,2,75.4
hflm,to,-0.7,c0.04,1e-3,medium,3,72.5
hflm,to,-0.7,c0.04,3e-4,hard,1,32.2
hflm,to,-0.7,c0.04,3e-4,hard,2,38.95
hflm,to,-0.7,c0.04,3e-4,hard,3,32.65
hflm,to,-0.7,c0.04,3e-4,medium,1,70.05
hflm,to,-0.7,c0.04,3e-4,medium,2,70.85000000000001
hflm,to,-0.7,c0.04,3e-4,medium,3,67.4
hflm,to,-0.7,c0.04,5e-4,hard,1,35.8
hflm,to,-0.7,c0.04,5e-4,hard,2,26.5
hflm,to,-0.7,c0.04,5e-4,hard,3,19.900000000000002
hflm,to,-0.7,c0.04,5e-4,medium,1,73.95
hflm,to,-0.7,c0.04,5e-4,medium,2,64.7
hflm,to,-0.7,c0.04,5e-4,medium,3,80.9
hflm,to,-0.7,random,1e-3,hard,1,27.400000000000002
hflm,to,-0.7,random,1e-3,hard,2,34.599999999999994
hflm,to,-0.7,random,1e-3,hard,3,27.200000000000003
hflm,to,-0.7,random,1e-3,medium,1,73.85000000000001
hflm,to,-0.7,random,1e-3,medium,2,77.2
hflm,to,-0.7,random,1e-3,medium,3,83.8
hflm,to,-0.7,random,3e-4,hard,1,35.699999999999996
hflm,to,-0.7,random,3e-4,hard,2,30.7
hflm,to,-0.7,random,3e-4,hard,3,28.799999999999997
hflm,to,-0.7,random,3e-4,medium,1,78.05
hflm,to,-0.7,random,3e-4,medium,2,72.3
hflm,to,-0.7,random,3e-4,medium,3,56.699999999999996
hflm,to,-0.7,random,5e-4,hard,1,22.900000000000002
hflm,to,-0.7,random,5e-4,hard,2,27.6
hflm,to,-0.7,random,5e-4,hard,3,35.75
hflm,to,-0.7,random,5e-4,medium,1,66.55
hflm,to,-0.7,random,5e-4,medium,2,67.2
hflm,to,-0.7,random,5e-4,medium,3,78.5
hflm,to,-1.0,c0.01,1e-3,hard,1,27.35
hflm,to,-1.0,c0.01,1e-3,hard,2,41.699999999999996
hflm,to,-1.0,c0.01,1e-3,hard,3,18.6
hflm,to,-1.0,c0.01,1e-3,medium,1,74.75
hflm,to,-1.0,c0.01,1e-3,medium,2,37.75
hflm,to,-1.0,c0.01,1e-3,medium,3,64.2
hflm,to,-1.0,c0.01,3e-4,hard,1,21.7
hflm,to,-1.0,c0.01,3e-4,hard,2,26.450000000000003
hflm,to,-1.0,c0.01,3e-4,hard,3,25.15
hflm,to,-1.0,c0.01,3e-4,medium,1,67.2
hflm,to,-1.0,c0.01,3e-4,medium,2,67.85
hflm,to,-1.0,c0.01,3e-4,medium,3,74.6
hflm,to,-1.0,c0.01,5e-4,hard,1,30.0
hflm,to,-1.0,c0.01,5e-4,hard,2,34.65
hflm,to,-1.0,c0.01,5e-4,hard,3,42.8
hflm,to,-1.0,c0.01,5e-4,medium,1,63.1
hflm,to,-1.0,c0.01,5e-4,medium,2,60.650000000000006
hflm,to,-1.0,c0.01,5e-4,medium,3,66.4
hflm,to,-1.0,c0.04,1e-3,hard,1,24.15
hflm,to,-1.0,c0.04,1e-3,hard,2,30.8
hflm,to,-1.0,c0.04,1e-3,hard,3,10.5
hflm,to,-1.0,c0.04,1e-3,medium,1,67.25
hflm,to,-1.0,c0.04,1e-3,medium,2,52.449999999999996
hflm,to,-1.0,c0.04,1e-3,medium,3,74.35000000000001
hflm,to,-1.0,c0.04,3e-4,hard,1,18.55
hflm,to,-1.0,c0.04,3e-4,hard,2,30.049999999999997
hflm,to,-1.0,c0.04,3e-4,hard,3,26.150000000000002
hflm,to,-1.0,c0.04,3e-4,medium,1,59.8
hflm,to,-1.0,c0.04,3e-4,medium,2,68.60000000000001
hflm,to,-1.0,c0.04,3e-4,medium,3,69.69999999999999
hflm,to,-1.0,c0.04,5e-4,hard,1,27.500000000000004
hflm,to,-1.0,c0.04,5e-4,hard,2,36.3
hflm,to,-1.0,c0.04,5e-4,hard,3,24.0
hflm,to,-1.0,c0.04,5e-4,medium,1,71.75
hflm,to,-1.0,c0.04,5e-4,medium,2,75.1
hflm,to,-1.0,c0.04,5e-4,medium,3,70.85000000000001
hflm,to,-1.0,random,1e-3,hard,1,16.2
hflm,to,-1.0,random,1e-3,hard,2,31.1
hflm,to,-1.0,random,1e-3,hard,3,22.8
hflm,to,-1.0,random,1e-3,medium,1,56.599999999999994
hflm,to,-1.0,random,1e-3,medium,2,67.95
hflm,to,-1.0,random,1e-3,medium,3,62.949999999999996
hflm,to,-1.0,random,3e-4,hard,1,30.75
hflm,to,-1.0,random,3e-4,hard,2,23.599999999999998
hflm,to,-1.0,random,3e-4,hard,3,15.299999999999999
hflm,to,-1.0,random,3e-4,medium,1,70.05
hflm,to,-1.0,random,3e-4,medium,2,74.65
hflm,to,-1.0,random,3e-4,medium,3,74.95
hflm,to,-1.0,random,5e-4,hard,1,20.45
hflm,to,-1.0,random,5e-4,hard,2,15.299999999999999
hflm,to,-1.0,random,5e-4,hard,3,16.05
hflm,to,-1.0,random,5e-4,medium,1,67.25
hflm,to,-1.0,random,5e-4,medium,2,77.9
hflm,to,-1.0,random,5e-4,medium,3,75.64999999999999
