model,method,K,init,lr,med_mean,med_std,hard_mean,hard_std,n_seeds
hflm,ta,-0.5,random,3e-4,76.1,1.7,36.2,1.2,3
hflm,ta,-0.5,random,5e-4,74.8,5.0,27.1,7.7,3
hflm,ta,-0.5,random,1e-3,78.8,6.1,33.5,4.7,3
hflm,ta,-0.5,c0.04,3e-4,75.5,6.2,28.6,11.9,3
hflm,ta,-0.5,c0.04,5e-4,72.8,2.5,41.2,9.8,3
hflm,ta,-0.5,c0.04,1e-3,72.8,4.8,41.9,1.2,3
hflm,ta,-0.7,c0.01,3e-4,76.4,3.7,30.9,4.9,3
hflm,ta,-0.7,c0.01,5e-4,75.8,7.2,38.1,3.6,3
hflm,ta,-0.7,c0.01,1e-3,77.4,3.1,40.2,8.1,3
hflm,ta,-0.7,random,3e-4,71.8,2.2,33.6,0.7,3
hflm,ta,-0.7,random,5e-4,68.6,6.0,34.5,2.7,3
hflm,ta,-0.7,random,1e-3,80.2,3.3,38.4,4.4,3
hflm,ta,-0.7,c0.04,3e-4,68.9,3.5,28.3,2.9,3
hflm,ta,-0.7,c0.04,5e-4,75.3,9.3,40.6,5.4,3
hflm,ta,-0.7,c0.04,1e-3,77.2,6.6,32.9,15.8,3
hflm,ta,-1.0,c0.01,3e-4,76.5,3.2,28.5,9.6,3
hflm,ta,-1.0,c0.01,5e-4,71.4,3.9,38.9,5.3,3
hflm,ta,-1.0,c0.01,1e-3,61.4,18.4,34.7,7.9,3
hflm,ta,-1.0,random,3e-4,68.7,5.3,32.0,3.8,3
hflm,ta,-1.0,random,5e-4,75.3,1.8,28.6,4.5,3
hflm,ta,-1.0,random,1e-3,70.1,3.8,34.6,6.3,3
hflm,ta,-1.0,c0.04,3e-4,74.2,4.8,30.4,7.3,3
hflm,ta,-1.0,c0.04,5e-4,72.4,3.0,30.8,4.2,3
hflm,ta,-1.0,c0.04,1e-3,68.5,5.8,33.5,9.2,3
