diff,k,init,lr,seed,accuracy
hard,-1.0,c0.04,3e-4,2,0.326
hard,-1.0,c0.04,3e-4,3,0.179
hard,-1.0,c0.04,5e-4,1,0.2465
hard,-1.0,c0.04,5e-4,2,0.38
hard,-1.0,c0.04,5e-4,3,0.315
hard,-1.0,c0.06,1e-3,1,0.202
hard,-1.0,c0.06,1e-3,2,0.3575
hard,-1.0,c0.06,1e-3,3,0.2645
hard,-1.0,c0.06,1e-4,1,0.244
hard,-1.0,c0.06,1e-4,2,0.2655
hard,-1.0,c0.06,1e-4,3,0.276
hard,-1.0,c0.06,3e-4,1,0.2915
hard,-1.0,c0.06,3e-4,2,0.351
hard,-1.0,c0.06,3e-4,3,0.264
hard,-1.0,c0.06,5e-4,1,0.3195
hard,-1.0,c0.06,5e-4,2,0.3495
hard,-1.0,c0.06,5e-4,3,0.3315
hard,-1.0,c0.08,1e-3,1,0.351
hard,-1.0,c0.08,1e-3,2,0.337
hard,-1.0,c0.08,1e-3,3,0.3485
hard,-1.0,c0.08,1e-4,1,0.257
hard,-1.0,c0.08,1e-4,2,0.2935
hard,-1.0,c0.08,1e-4,3,0.187
hard,-1.0,c0.08,3e-4,1,0.3
hard,-1.0,c0.08,3e-4,2,0.3335
hard,-1.0,c0.08,3e-4,3,0.2645
hard,-1.0,c0.08,5e-4,1,0.2725
hard,-1.0,c0.08,5e-4,2,0.308
hard,-1.0,c0.08,5e-4,3,0.3325
hard,-1.0,ngpt,1e-3,1,0.333
hard,-1.0,ngpt,1e-3,2,0.277
hard,-1.0,ngpt,1e-3,3,0.321
hard,-1.0,ngpt,1e-4,1,0.229
hard,-1.0,ngpt,1e-4,2,0.267
hard,-1.0,ngpt,1e-4,3,0.1645
hard,-1.0,ngpt,3e-4,1,0.3955
hard,-1.0,ngpt,3e-4,2,0.2775
hard,-1.0,ngpt,3e-4,3,0.2305
hard,-1.0,ngpt,5e-4,1,0.2185
hard,-1.0,ngpt,5e-4,2,0.3895
hard,-1.0,ngpt,5e-4,3,0.351
hard,-1.0,random,1e-3,1,0.2025
hard,-1.0,random,1e-3,2,0.128
hard,-1.0,random,1e-3,3,0.35
hard,-1.0,random,1e-4,1,0.1445
hard,-1.0,random,1e-4,2,0.083
hard,-1.0,random,1e-4,3,0.2205
hard,-1.0,random,3e-4,1,0.273
hard,-1.0,random,3e-4,2,0.3185
hard,-1.0,random,3e-4,3,0.348
hard,-1.0,random,5e-4,1,0.2815
hard,-1.0,random,5e-4,2,0.3235
hard,-1.0,random,5e-4,3,0.211
hard,-0.7,c0.01,1e-3,1,0.4665
hard,-0.7,c0.01,1e-3,2,0.329
hard,-0.7,c0.01,1e-3,3,0.3985
hard,-0.7,c0.01,1e-4,1,0.161
hard,-0.7,c0.01,1e-4,2,0.2345
hard,-0.7,c0.01,1e-4,3,0.1855
hard,-0.7,c0.01,3e-4,1,0.4075
hard,-0.7,c0.01,3e-4,2,0.298
hard,-0.7,c0.01,3e-4,3,0.467
hard,-0.7,c0.01,5e-4,1,0.3515
hard,-0.7,c0.01,5e-4,2,0.405
hard,-0.7,c0.01,5e-4,3,0.255
hard,-0.7,c0.02,1e-3,1,0.3705
hard,-0.7,c0.02,1e-3,2,0.3865
hard,-0.7,c0.02,1e-3,3,0.2935
hard,-0.7,c0.02,1e-4,1,0.327
hard,-0.7,c0.02,1e-4,2,0.1445
hard,-0.7,c0.02,1e-4,3,0.209
hard,-0.7,c0.02,3e-4,1,0.3975
hard,-0.7,c0.02,3e-4,2,0.3
hard,-0.7,c0.02,3e-4,3,0.3
hard,-0.7,c0.02,5e-4,1,0.4075
hard,-0.7,c0.02,5e-4,2,0.381
hard,-0.7,c0.02,5e-4,3,0.3775
hard,-0.7,c0.04,1e-3,1,0.361
hard,-0.7,c0.04,1e-3,2,0.458
hard,-0.7,c0.04,1e-3,3,0.394
hard,-0.7,c0.04,1e-4,1,0.2755
hard,-0.7,c0.04,1e-4,2,0.311
hard,-0.7,c0.04,1e-4,3,0.3815
hard,-0.7,c0.04,3e-4,1,0.3235
hard,-0.7,c0.04,3e-4,2,0.349
hard,-0.7,c0.04,3e-4,3,0.3815
hard,-0.7,c0.04,5e-4,1,0.3265
hard,-0.7,c0.04,5e-4,2,0.37
hard,-0.7,c0.04,5e-4,3,0.3975
hard,-0.7,c0.06,1e-3,1,0.3055
hard,-0.7,c0.06,1e-3,2,0.3635
hard,-0.7,c0.06,1e-3,3,0.315
hard,-0.7,c0.06,1e-4,1,0.2485
hard,-0.7,c0.06,1e-4,2,0.321
hard,-0.7,c0.06,1e-4,3,0.2925
hard,-0.7,c0.06,3e-4,1,0.314
hard,-0.7,c0.06,3e-4,2,0.363
hard,-0.7,c0.06,3e-4,3,0.3285
hard,-0.7,c0.06,5e-4,1,0.263
hard,-0.7,c0.06,5e-4,2,0.367
hard,-0.7,c0.06,5e-4,3,0.3675
hard,-0.7,c0.08,1e-3,1,0.312
hard,-0.7,c0.08,1e-3,2,0.3565
hard,-0.7,c0.08,1e-3,3,0.2805
hard,-0.7,c0.08,1e-4,1,0.234
hard,-0.7,c0.08,1e-4,2,0.309
hard,-0.7,c0.08,1e-4,3,0.3245
hard,-0.7,c0.08,3e-4,1,0.2805
hard,-0.7,c0.08,3e-4,2,0.2885
hard,-0.7,c0.08,3e-4,3,0.342
hard,-0.7,c0.08,5e-4,1,0.4055
hard,-0.7,c0.08,5e-4,2,0.356
hard,-0.7,c0.08,5e-4,3,0.358
hard,-0.7,ngpt,1e-3,1,0.3375
hard,-0.7,ngpt,1e-3,2,0.3205
hard,-0.7,ngpt,1e-3,3,0.3225
hard,-0.7,ngpt,1e-4,1,0.251
hard,-0.7,ngpt,1e-4,2,0.3495
hard,-0.7,ngpt,1e-4,3,0.4145
hard,-0.7,ngpt,3e-4,1,0.307
hard,-0.7,ngpt,3e-4,2,0.3455
hard,-0.7,ngpt,3e-4,3,0.369
hard,-0.7,ngpt,5e-4,1,0.316
hard,-0.7,ngpt,5e-4,2,0.4
hard,-0.7,ngpt,5e-4,3,0.4005
hard,-0.7,random,1e-3,1,0.282
hard,-0.7,random,1e-3,2,0.3865
hard,-0.7,random,1e-3,3,0.2925
hard,-0.7,random,1e-4,1,0.2535
hard,-0.7,random,1e-4,2,0.1745
hard,-0.7,random,1e-4,3,0.209
hard,-0.7,random,3e-4,1,0.397
hard,-0.7,random,3e-4,2,0.2445
hard,-0.7,random,3e-4,3,0.429
hard,-0.7,random,5e-4,1,0.3575
hard,-0.7,random,5e-4,2,0.2295
hard,-0.7,random,5e-4,3,0.394
hard,-0.5,c0.01,1e-3,1,0.3
hard,-0.5,c0.01,1e-3,2,0.3545
hard,-0.5,c0.01,1e-3,3,0.2755
hard,-0.5,c0.01,1e-4,1,0.389
hard,-0.5,c0.01,1e-4,2,0.3735
hard,-0.5,c0.01,1e-4,3,0.211
hard,-0.5,c0.01,3e-4,1,0.3215
hard,-0.5,c0.01,3e-4,2,0.5815
hard,-0.5,c0.01,3e-4,3,0.4835
hard,-0.5,c0.01,5e-4,1,0.266
hard,-0.5,c0.01,5e-4,2,0.314
hard,-0.5,c0.01,5e-4,3,0.3535
hard,-0.5,c0.02,1e-3,1,0.357
hard,-0.5,c0.02,1e-3,2,0.396
hard,-0.5,c0.02,1e-3,3,0.4475
hard,-0.5,c0.02,1e-4,1,0.3545
hard,-0.5,c0.02,1e-4,2,0.082
hard,-0.5,c0.02,1e-4,3,0.2095
hard,-0.5,c0.02,3e-4,1,0.4345
hard,-0.5,c0.02,3e-4,2,0.3575
hard,-0.5,c0.02,3e-4,3,0.3875
hard,-0.5,c0.02,5e-4,1,0.2115
hard,-0.5,c0.02,5e-4,2,0.424
hard,-0.5,c0.02,5e-4,3,0.466
hard,-0.5,c0.04,1e-3,1,0.3405
hard,-0.5,c0.04,1e-3,2,0.3
hard,-0.5,c0.04,1e-3,3,0.379
hard,-0.5,c0.04,1e-4,1,0.3415
hard,-0.5,c0.04,1e-4,2,0.336
hard,-0.5,c0.04,1e-4,3,0.3905
hard,-0.5,c0.04,3e-4,1,0.388
hard,-0.5,c0.04,3e-4,2,0.3705
hard,-0.5,c0.04,3e-4,3,0.3775
hard,-0.5,c0.04,5e-4,1,0.365
hard,-0.5,c0.04,5e-4,2,0.359
hard,-0.5,c0.04,5e-4,3,0.364
hard,-0.5,c0.06,1e-3,1,0.3275
hard,-0.5,c0.06,1e-3,2,0.3885
hard,-0.5,c0.06,1e-3,3,0.3615
hard,-0.5,c0.06,1e-4,1,0.276
hard,-0.5,c0.06,1e-4,2,0.2755
hard,-0.5,c0.06,1e-4,3,0.2705
hard,-0.5,c0.06,3e-4,1,0.364
hard,-0.5,c0.06,3e-4,2,0.4265
hard,-0.5,c0.06,3e-4,3,0.3035
hard,-0.5,c0.06,5e-4,1,0.3995
hard,-0.5,c0.06,5e-4,2,0.3975
hard,-0.5,c0.06,5e-4,3,0.286
hard,-0.5,c0.08,1e-3,1,0.211
hard,-0.5,c0.08,1e-3,2,0.326
hard,-0.5,c0.08,1e-3,3,0.2365
hard,-0.5,c0.08,1e-4,1,0.323
hard,-0.5,c0.08,1e-4,2,0.37
hard,-0.5,c0.08,1e-4,3,0.2305
hard,-0.5,c0.08,3e-4,1,0.3745
