method,seed,nfe,temp,gen_ppl,entropy,num_unique,num_samples
duo,1,1,0.5,83.96842956542969,0.08731675148010254,233,512
duo,2,1,0.5,69.15953063964844,0.07657591253519058,204,512
duo,3,1,0.5,87.19207000732422,0.09105125069618225,247,512
duo,1,1,0.55,83.46659851074219,0.08708527684211731,232,512
duo,2,1,0.55,68.27708435058594,0.07637674361467361,202,512
duo,3,1,0.55,87.09101867675781,0.09104067832231522,247,512
duo,1,1,0.6,83.88662719726562,0.08722656965255737,233,512
duo,2,1,0.6,68.95848846435547,0.07639183849096298,204,512
duo,3,1,0.6,85.83406829833984,0.09052568674087524,245,512
duo,1,1,0.65,83.23472595214844,0.08693210780620575,233,512
duo,2,1,0.65,68.69092559814453,0.07627201080322266,202,512
duo,3,1,0.65,87.00090789794922,0.09071020781993866,247,512
duo,1,1,0.7,83.37630462646484,0.08711099624633789,234,512
duo,2,1,0.7,68.90484619140625,0.07617649435997009,203,512
duo,3,1,0.7,86.46463012695312,0.09060441702604294,244,512
duo,1,1,0.75,84.3150863647461,0.08671841770410538,233,512
duo,2,1,0.75,67.75159454345703,0.07607371360063553,199,512
duo,3,1,0.75,86.0486831665039,0.09037590771913528,244,512
duo,1,1,0.8,83.91780090332031,0.08667787164449692,232,512
duo,2,1,0.8,67.7344741821289,0.07608404755592346,199,512
duo,3,1,0.8,86.23326873779297,0.09046907722949982,246,512
duo,1,1,0.85,84.18512725830078,0.08726701885461807,233,512
duo,2,1,0.85,69.63179779052734,0.07649753242731094,204,512
duo,3,1,0.85,88.02379608154297,0.09097283333539963,248,512
duo,1,1,0.9,83.96842956542969,0.08731675148010254,233,512
duo,2,1,0.9,69.24635314941406,0.07661083340644836,204,512
duo,3,1,0.9,87.19207000732422,0.09105125069618225,247,512
duo,1,1,0.95,83.96842956542969,0.08731675148010254,233,512
duo,2,1,0.95,69.15953063964844,0.07657591253519058,204,512
duo,3,1,0.95,87.19207000732422,0.09105125069618225,247,512
duo,1,1,1.0,83.96842956542969,0.08731675148010254,233,512
duo,2,1,1.0,69.15953063964844,0.07657591253519058,204,512
duo,3,1,1.0,87.19207000732422,0.09105125069618225,247,512
duo,1,1,1.05,84.44741821289062,0.08718147873878479,233,512
duo,2,1,1.05,69.49009704589844,0.07653669267892838,204,512
duo,3,1,1.05,87.04837799072266,0.09098685532808304,247,512
duo,1,1,1.1,83.46659851074219,0.08708527684211731,232,512
duo,2,1,1.1,68.27708435058594,0.07637674361467361,202,512
duo,3,1,1.1,87.09101867675781,0.09104067832231522,247,512
duo,1,1,1.15,83.65774536132812,0.08729569613933563,232,512
duo,2,1,1.15,69.58399963378906,0.07653669267892838,204,512
duo,3,1,1.15,87.22164154052734,0.09091261029243469,247,512
duo,1,1,1.2,83.88662719726562,0.08722656965255737,233,512
duo,2,1,1.2,68.95848846435547,0.07639183849096298,204,512
duo,3,1,1.2,85.83406829833984,0.09052568674087524,245,512
duo,1,4,0.5,66.85595703125,3.7913901805877686,512,512
duo,2,4,0.5,64.73323822021484,3.7685954570770264,512,512
duo,3,4,0.5,65.44549560546875,3.885685682296753,512,512
duo,1,4,0.55,71.2812271118164,3.905484676361084,512,512
duo,2,4,0.55,74.09001159667969,3.9121978282928467,512,512
duo,3,4,0.55,69.55925750732422,3.9673449993133545,512,512
duo,1,4,0.6,74.51698303222656,3.996541738510132,512,512
duo,2,4,0.6,77.82106018066406,4.009521484375,512,512
duo,3,4,0.6,73.61446380615234,4.038700580596924,512,512
duo,1,4,0.65,81.26663970947266,4.0665788650512695,512,512
duo,2,4,0.65,84.5837173461914,4.081667900085449,512,512
duo,3,4,0.65,77.63282012939453,4.103348731994629,512,512
duo,1,4,0.7,87.14593505859375,4.1249494552612305,512,512
duo,2,4,0.7,90.68702697753906,4.135490417480469,512,512
duo,3,4,0.7,83.88123321533203,4.143558502197266,512,512
duo,1,4,0.75,92.85044860839844,4.169045448303223,512,512
duo,2,4,0.75,96.92143249511719,4.180089473724365,512,512
duo,3,4,0.75,91.61550903320312,4.190486907958984,512,512
duo,1,4,0.8,101.20270538330078,4.207334518432617,512,512
duo,2,4,0.8,105.85248565673828,4.218448638916016,512,512
duo,3,4,0.8,98.92252349853516,4.218254089355469,512,512
duo,1,4,0.85,110.65904998779297,4.232885837554932,512,512
duo,2,4,0.85,115.3233871459961,4.236804008483887,512,512
duo,3,4,0.85,106.19474792480469,4.232015132904053,512,512
duo,1,4,0.9,120.5907211303711,4.246452331542969,512,512
duo,2,4,0.9,125.41279602050781,4.24680757522583,512,512
duo,3,4,0.9,120.00772857666016,4.253408908843994,512,512
duo,1,4,0.95,132.64915466308594,4.251021385192871,512,512
duo,2,4,0.95,137.13804626464844,4.258167743682861,512,512
duo,3,4,0.95,129.42788696289062,4.261562824249268,512,512
duo,1,4,1.0,141.97341918945312,4.250473499298096,512,512
duo,2,4,1.0,147.08871459960938,4.250619888305664,512,512
duo,3,4,1.0,139.80018615722656,4.254295825958252,512,512
duo,1,4,1.05,153.19973754882812,4.241843223571777,512,512
duo,2,4,1.05,161.0232391357422,4.239096641540527,512,512
duo,3,4,1.05,152.2231903076172,4.251739501953125,512,512
duo,1,4,1.1,166.724853515625,4.2278337478637695,512,512
duo,2,4,1.1,171.45518493652344,4.224152088165283,512,512
duo,3,4,1.1,164.14620971679688,4.232438564300537,512,512
duo,1,4,1.15,179.7510223388672,4.203608989715576,512,512
duo,2,4,1.15,182.5725555419922,4.1967339515686035,512,512
duo,3,4,1.15,178.4888153076172,4.210367679595947,512,512
duo,1,4,1.2,194.29539489746094,4.174947261810303,512,512
duo,2,4,1.2,196.9669189453125,4.169633388519287,512,512
duo,3,4,1.2,190.43138122558594,4.187540054321289,512,512
duo,1,8,0.5,18.853717803955078,3.9909443855285645,512,512
duo,2,8,0.5,18.694564819335938,4.004711151123047,512,512
duo,3,8,0.5,17.72503089904785,4.013081073760986,512,512
duo,1,8,0.55,19.546125411987305,4.0518364906311035,512,512
duo,2,8,0.55,20.021976470947266,4.054958343505859,512,512
duo,3,8,0.55,18.8316707611084,4.075229644775391,512,512
duo,1,8,0.6,21.0118408203125,4.1026740074157715,512,512
duo,2,8,0.6,21.372941970825195,4.107882976531982,512,512
duo,3,8,0.6,19.99517059326172,4.117420673370361,512,512
duo,1,8,0.65,22.275474548339844,4.147325038909912,512,512
duo,2,8,0.65,23.21616554260254,4.159098148345947,512,512
duo,3,8,0.65,21.924495697021484,4.1647748947143555,512,512
duo,1,8,0.7,23.608842849731445,4.1939215660095215,512,512
duo,2,8,0.7,24.90436553955078,4.200448036193848,512,512
duo,3,8,0.7,23.745820999145508,4.205421447753906,512,512
duo,1,8,0.75,26.987041473388672,4.229586601257324,512,512
duo,2,8,0.75,27.559730529785156,4.228693962097168,512,512
duo,3,8,0.75,25.85393714904785,4.2348222732543945,512,512
duo,1,8,0.8,29.14938735961914,4.259499549865723,512,512
duo,2,8,0.8,29.68761444091797,4.264249801635742,512,512
duo,3,8,0.8,28.327699661254883,4.264823913574219,512,512
duo,1,8,0.85,32.377159118652344,4.281927108764648,512,512
duo,2,8,0.85,33.49895477294922,4.2875518798828125,512,512
duo,3,8,0.85,31.982099533081055,4.293547630310059,512,512
duo,1,8,0.9,36.34884262084961,4.309127330780029,512,512
duo,2,8,0.9,37.45410919189453,4.3087592124938965,512,512
duo,3,8,0.9,36.193458557128906,4.31886625289917,512,512
duo,1,8,0.95,41.68497085571289,4.330545902252197,512,512
duo,2,8,0.95,42.3863410949707,4.338146209716797,512,512
duo,3,8,0.95,40.6872673034668,4.339568614959717,512,512
duo,1,8,1.0,46.528953552246094,4.346850872039795,512,512
duo,2,8,1.0,47.335350036621094,4.349579334259033,512,512
duo,3,8,1.0,44.894737243652344,4.350706577301025,512,512
duo,1,8,1.05,53.818084716796875,4.361949443817139,512,512
duo,2,8,1.05,54.60358810424805,4.364080905914307,512,512
duo,3,8,1.05,52.712059020996094,4.368431091308594,512,512
duo,1,8,1.1,60.79030990600586,4.368185520172119,512,512
duo,2,8,1.1,63.913204193115234,4.3649821281433105,512,512
duo,3,8,1.1,60.459774017333984,4.368953704833984,512,512
duo,1,8,1.15,71.00431823730469,4.372678279876709,512,512
duo,2,8,1.15,75.2012939453125,4.361412048339844,512,512
duo,3,8,1.15,67.59589385986328,4.371960163116455,512,512
duo,1,8,1.2,83.47651672363281,4.359098434448242,512,512
duo,2,8,1.2,85.52275848388672,4.3711371421813965,512,512
duo,3,8,1.2,80.4216079711914,4.360111236572266,512,512
duo,1,16,0.5,12.34853458404541,4.048008918762207,512,512
duo,2,16,0.5,12.520774841308594,4.0542683601379395,512,512
duo,3,16,0.5,12.274928092956543,4.061588287353516,512,512
duo,1,16,0.55,13.011255264282227,4.090700626373291,512,512
duo,2,16,0.55,13.172780990600586,4.094775199890137,512,512
duo,3,16,0.55,12.63805103302002,4.1038737297058105,512,512
duo,1,16,0.6,13.671019554138184,4.136247158050537,512,512
duo,2,16,0.6,13.76845645904541,4.1395673751831055,512,512
duo,3,16,0.6,13.566991806030273,4.133814334869385,512,512
duo,1,16,0.65,14.522989273071289,4.17106819152832,512,512
duo,2,16,0.65,14.818302154541016,4.170361042022705,512,512
duo,3,16,0.65,14.151424407958984,4.174179553985596,512,512
duo,1,16,0.7,15.371331214904785,4.202911376953125,512,512
