nfe,eta,temp,seed,gen_ppl,entropy,num_unique,num_samples
4,0.0,0.5,1,34.94709777832031,3.979768753051758,512,512
4,0.0,0.5,2,34.312103271484375,4.007486343383789,512,512
4,0.0,0.5,3,34.57167053222656,3.9204928874969482,512,512
4,0.0,0.55,1,36.62236404418945,4.044212341308594,512,512
4,0.0,0.55,2,36.79035949707031,4.064095973968506,512,512
4,0.0,0.55,3,36.86130142211914,3.991490364074707,512,512
4,0.0,0.6,1,38.625511169433594,4.102530002593994,512,512
4,0.0,0.6,2,39.37797164916992,4.115584850311279,512,512
4,0.0,0.6,3,38.558658599853516,4.046144008636475,512,512
4,0.0,0.65,1,41.138404846191406,4.153372287750244,512,512
4,0.0,0.65,2,42.4540901184082,4.160252571105957,512,512
4,0.0,0.65,3,41.72591018676758,4.1006388664245605,512,512
4,0.0,0.7,1,44.108428955078125,4.194190979003906,512,512
4,0.0,0.7,2,44.77286911010742,4.199862003326416,512,512
4,0.0,0.7,3,44.435977935791016,4.144481182098389,512,512
4,0.0,0.75,1,47.14054489135742,4.227615833282471,512,512
4,0.0,0.75,2,48.4598503112793,4.231974124908447,512,512
4,0.0,0.75,3,47.5718879699707,4.17533016204834,512,512
4,0.0,0.8,1,50.4864387512207,4.257509231567383,512,512
4,0.0,0.8,2,51.42878341674805,4.253012657165527,512,512
4,0.0,0.8,3,51.128028869628906,4.206754207611084,512,512
4,0.0,0.85,1,53.96601104736328,4.278262138366699,512,512
4,0.0,0.85,2,55.142677307128906,4.271338939666748,512,512
4,0.0,0.85,3,54.96259307861328,4.233802795410156,512,512
4,0.0,0.9,1,58.404937744140625,4.299027919769287,512,512
4,0.0,0.9,2,59.745201110839844,4.290223598480225,512,512
4,0.0,0.9,3,59.488582611083984,4.261305809020996,512,512
4,0.0,0.95,1,62.53154373168945,4.31171178817749,512,512
4,0.0,0.95,2,64.7815933227539,4.305109024047852,512,512
4,0.0,0.95,3,64.08670043945312,4.276456356048584,512,512
4,0.0,1.0,1,67.19037628173828,4.323867321014404,512,512
4,0.0,1.0,2,69.350341796875,4.317913055419922,512,512
4,0.0,1.0,3,68.6394271850586,4.287152290344238,512,512
4,0.0,1.05,1,72.07928466796875,4.33001708984375,512,512
4,0.0,1.05,2,74.38807678222656,4.324678421020508,512,512
4,0.0,1.05,3,74.07037353515625,4.294741153717041,512,512
4,0.0,1.1,1,77.96189880371094,4.337764263153076,512,512
4,0.0,1.1,2,79.86991119384766,4.33172607421875,512,512
4,0.0,1.1,3,79.86283111572266,4.301882266998291,512,512
4,0.0,1.15,1,84.08723449707031,4.3445868492126465,512,512
4,0.0,1.15,2,87.33392333984375,4.339686870574951,512,512
4,0.0,1.15,3,86.421142578125,4.308215141296387,512,512
4,0.0,1.2,1,89.06564331054688,4.3505425453186035,512,512
4,0.0,1.2,2,93.93849182128906,4.345638275146484,512,512
4,0.0,1.2,3,93.74383544921875,4.312777042388916,512,512
4,0.5,0.5,1,41.45806121826172,4.036937713623047,512,512
4,0.5,0.6,1,46.86857986450195,4.128058910369873,512,512
4,1.0,0.5,1,45.310909271240234,4.062963008880615,512,512
4,1.0,0.6,1,51.19577407836914,4.140624523162842,512,512
4,2.0,0.5,1,52.94346618652344,4.095875263214111,512,512
4,2.0,0.6,1,59.05018997192383,4.154178142547607,512,512
4,4.0,0.5,1,67.12744903564453,4.103466510772705,512,512
4,4.0,0.6,1,72.77535247802734,4.152308940887451,512,512
8,0.0,0.5,1,18.209625244140625,4.088810920715332,512,512
8,0.0,0.5,2,18.045196533203125,4.117402076721191,512,512
8,0.0,0.5,3,18.506378173828125,4.051638603210449,512,512
8,0.0,0.55,1,19.16916275024414,4.142928600311279,512,512
8,0.0,0.55,2,19.002580642700195,4.164624214172363,512,512
8,0.0,0.55,3,19.52014923095703,4.104823589324951,512,512
8,0.0,0.6,1,19.937532424926758,4.194029331207275,512,512
8,0.0,0.6,2,20.14695930480957,4.207962512969971,512,512
8,0.0,0.6,3,20.438690185546875,4.15858268737793,512,512
8,0.0,0.65,1,21.21904754638672,4.240068435668945,512,512
8,0.0,0.65,2,21.55420684814453,4.2565813064575195,512,512
8,0.0,0.65,3,21.382043838500977,4.205275058746338,512,512
8,0.0,0.7,1,22.534372329711914,4.278939247131348,512,512
8,0.0,0.7,2,23.13278579711914,4.293634414672852,512,512
8,0.0,0.7,3,22.719894409179688,4.2495951652526855,512,512
8,0.0,0.75,1,24.430025100708008,4.315639972686768,512,512
8,0.0,0.75,2,24.7802677154541,4.328914642333984,512,512
8,0.0,0.75,3,24.501808166503906,4.291138172149658,512,512
8,0.0,0.8,1,26.423282623291016,4.352286338806152,512,512
8,0.0,0.8,2,27.047847747802734,4.3598456382751465,512,512
8,0.0,0.8,3,26.687898635864258,4.331849575042725,512,512
8,0.0,0.85,1,28.898298263549805,4.384608268737793,512,512
8,0.0,0.85,2,29.341825485229492,4.385792255401611,512,512
8,0.0,0.85,3,28.74860954284668,4.362123966217041,512,512
8,0.0,0.9,1,31.53856086730957,4.410552501678467,512,512
8,0.0,0.9,2,31.977157592773438,4.411207675933838,512,512
8,0.0,0.9,3,31.71697235107422,4.389760494232178,512,512
8,0.0,0.95,1,35.06551742553711,4.435521602630615,512,512
8,0.0,0.95,2,35.506168365478516,4.4356279373168945,512,512
8,0.0,0.95,3,35.162757873535156,4.421148300170898,512,512
8,0.0,1.0,1,38.685298919677734,4.4609503746032715,512,512
8,0.0,1.0,2,39.506744384765625,4.457972049713135,512,512
8,0.0,1.0,3,39.38944625854492,4.449118614196777,512,512
8,0.0,1.05,1,43.82073211669922,4.486332893371582,512,512
8,0.0,1.05,2,44.3117561340332,4.4847636222839355,512,512
8,0.0,1.05,3,44.59503173828125,4.477511882781982,512,512
8,0.0,1.1,1,49.7463493347168,4.507287502288818,512,512
8,0.0,1.1,2,50.22526550292969,4.508438587188721,512,512
8,0.0,1.1,3,50.226715087890625,4.501514434814453,512,512
8,0.0,1.15,1,56.71097183227539,4.531362056732178,512,512
8,0.0,1.15,2,56.740726470947266,4.533919334411621,512,512
8,0.0,1.15,3,58.22766876220703,4.5282158851623535,512,512
8,0.0,1.2,1,64.8453140258789,4.554123401641846,512,512
8,0.0,1.2,2,65.79151916503906,4.555517673492432,512,512
8,0.0,1.2,3,67.36466979980469,4.54932165145874,512,512
8,1.0,0.5,1,19.99827003479004,4.125333309173584,512,512
8,1.0,0.6,1,22.0820255279541,4.219485282897949,512,512
8,2.0,0.5,1,20.622112274169922,4.150733947753906,512,512
8,2.0,0.6,1,23.72100830078125,4.23891544342041,512,512
8,4.0,0.5,1,23.414485931396484,4.191108226776123,512,512
8,4.0,0.6,1,26.26641082763672,4.262118339538574,512,512
8,8.0,0.5,1,27.874401092529297,4.24961519241333,512,512
8,8.0,0.6,1,31.92676544189453,4.3134260177612305,512,512
16,0.0,0.5,1,14.521829605102539,4.1095404624938965,512,512
16,0.0,0.5,2,14.489316940307617,4.1302170753479,512,512
16,0.0,0.5,3,14.855986595153809,4.079508304595947,512,512
16,0.0,0.55,1,15.086156845092773,4.156907081604004,512,512
16,0.0,0.55,2,15.129447937011719,4.172805309295654,512,512
16,0.0,0.55,3,15.385391235351562,4.12583589553833,512,512
16,0.0,0.6,1,15.758752822875977,4.202475070953369,512,512
16,0.0,0.6,2,15.921192169189453,4.215303421020508,512,512
16,0.0,0.6,3,15.804940223693848,4.173130989074707,512,512
16,0.0,0.65,1,16.488065719604492,4.245083332061768,512,512
16,0.0,0.65,2,16.807689666748047,4.253955364227295,512,512
16,0.0,0.65,3,16.811176300048828,4.21776819229126,512,512
16,0.0,0.7,1,17.517696380615234,4.280566692352295,512,512
16,0.0,0.7,2,17.777835845947266,4.284361839294434,512,512
16,0.0,0.7,3,17.817291259765625,4.256194114685059,512,512
16,0.0,0.75,1,18.638673782348633,4.314925670623779,512,512
16,0.0,0.75,2,18.854751586914062,4.313140869140625,512,512
16,0.0,0.75,3,18.724925994873047,4.292932987213135,512,512
16,0.0,0.8,1,20.00254249572754,4.345275402069092,512,512
16,0.0,0.8,2,20.131690979003906,4.342354774475098,512,512
16,0.0,0.8,3,20.093124389648438,4.325895309448242,512,512
16,0.0,0.85,1,21.439481735229492,4.3727498054504395,512,512
16,0.0,0.85,2,21.486698150634766,4.367283821105957,512,512
16,0.0,0.85,3,21.728612899780273,4.356776237487793,512,512
16,0.0,0.9,1,23.30335807800293,4.399068355560303,512,512
16,0.0,0.9,2,23.404909133911133,4.392194747924805,512,512
16,0.0,0.9,3,23.461437225341797,4.385791301727295,512,512
16,0.0,0.95,1,25.590700149536133,4.426302433013916,512,512
16,0.0,0.95,2,25.665660858154297,4.418247222900391,512,512
16,0.0,0.95,3,25.849843978881836,4.414892673492432,512,512
16,0.0,1.0,1,28.35450553894043,4.450178623199463,512,512
16,0.0,1.0,2,28.482460021972656,4.44570779800415,512,512
16,0.0,1.0,3,28.47926902770996,4.441574573516846,512,512
16,0.0,1.05,1,31.66793441772461,4.473470211029053,512,512
16,0.0,1.05,2,31.88625144958496,4.470713138580322,512,512
16,0.0,1.05,3,31.779138565063477,4.468804359436035,512,512
16,0.0,1.1,1,35.338050842285156,4.4996514320373535,512,512
16,0.0,1.1,2,36.12168884277344,4.497027397155762,512,512
16,0.0,1.1,3,36.089439392089844,4.4957380294799805,512,512
16,0.0,1.15,1,40.71115493774414,4.528661727905273,512,512
16,0.0,1.15,2,41.557594299316406,4.5249152183532715,512,512
16,0.0,1.15,3,41.300498962402344,4.528302192687988,512,512
16,0.0,1.2,1,46.726966857910156,4.557432174682617,512,512
16,0.0,1.2,2,48.32329177856445,4.554272651672363,512,512
16,0.0,1.2,3,48.90604019165039,4.562215328216553,512,512
16,0.25,0.5,1,14.359688758850098,4.100574493408203,512,512
16,0.25,0.6,1,15.688200950622559,4.19828462600708,512,512
16,0.25,0.7,1,17.469573974609375,4.275025844573975,512,512
16,0.25,0.9,1,23.169782638549805,4.391058444976807,512,512
16,0.25,1.1,1,35.316017150878906,4.495760440826416,512,512
16,0.5,0.5,1,14.579354286193848,4.104491233825684,512,512
16,0.5,0.6,1,15.841020584106445,4.188753604888916,512,512
